time,setpoint,sensor,sinyal kendali
2024-08-25 17:56:28.149425,36.0,26.23,100
2024-08-25 17:56:28.352999,36.0,26.21,100
2024-08-25 17:56:28.553706,36.0,26.31,100
2024-08-25 17:56:28.779617,36.0,26.32,100
2024-08-25 17:56:28.981473,36.0,26.26,100
2024-08-25 17:56:29.181605,36.0,26.33,100
2024-08-25 17:56:29.384551,36.0,26.33,100
2024-08-25 17:56:29.615208,36.0,26.33,100
2024-08-25 17:56:29.817962,36.0,26.33,100
2024-08-25 17:56:30.016049,36.0,26.39,100
2024-08-25 17:56:30.247186,36.0,26.41,100
2024-08-25 17:56:30.450186,36.0,26.43,100
2024-08-25 17:56:30.652908,36.0,26.44,100
2024-08-25 17:56:30.878105,36.0,26.44,100
2024-08-25 17:56:31.080560,36.0,26.44,100
2024-08-25 17:56:31.286726,36.0,26.44,100
2024-08-25 17:56:31.482602,36.0,26.44,100
2024-08-25 17:56:31.710646,36.0,26.51,100
2024-08-25 17:56:31.913252,36.0,26.55,100
2024-08-25 17:56:32.114301,36.0,26.54,100
2024-08-25 17:56:32.317696,36.0,26.5,100
2024-08-25 17:56:32.543404,36.0,26.56,100
2024-08-25 17:56:32.751329,36.0,26.56,100
2024-08-25 17:56:32.953858,36.0,26.56,100
2024-08-25 17:56:33.155691,36.0,26.56,100
2024-08-25 17:56:33.376129,36.0,26.56,100
2024-08-25 17:56:33.578319,36.0,26.59,100
2024-08-25 17:56:33.780908,36.0,26.67,100
2024-08-25 17:56:33.981185,36.0,26.67,100
2024-08-25 17:56:34.208594,36.0,26.67,100
2024-08-25 17:56:34.412023,36.0,26.67,100
2024-08-25 17:56:34.614461,36.0,26.7,100
2024-08-25 17:56:34.841925,36.0,26.67,100
2024-08-25 17:56:35.044088,36.0,26.69,100
2024-08-25 17:56:35.246215,36.0,26.69,100
2024-08-25 17:56:35.447368,36.0,26.79,100
2024-08-25 17:56:35.678075,36.0,26.79,100
2024-08-25 17:56:35.879295,36.0,26.79,100
2024-08-25 17:56:36.078560,36.0,26.79,100
2024-08-25 17:56:36.310031,36.0,26.79,100
